price,price_per_sqft,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,house_age,years_since_renovation,lot_size_acres,clusters
221900.0,188.05084745762716,3,1.0,1180,5650,1.0,0,3,7,69,69,0.12970615243342515,purple
538000.0,209.3385214007782,3,2.25,2570,7242,2.0,0,3,7,73,33,0.1662534435261708,light pink
180000.0,233.76623376623377,2,1.0,770,10000,1.0,0,3,6,91,91,0.2295684113865932,purple
604000.0,308.16326530612247,4,3.0,1960,5000,1.0,0,5,7,59,59,0.1147842056932966,light pink
510000.0,303.57142857142856,3,2.0,1680,8080,1.0,0,3,8,37,37,0.1854912764003673,purple
1225000.0,226.01476014760144,4,4.5,5420,101930,1.0,0,3,11,23,23,2.3399908172635446,dark purple
257500.0,150.14577259475217,3,2.25,1715,6819,2.0,0,3,7,29,29,0.1565426997245179,purple
291850.0,275.3301886792453,3,1.5,1060,9711,1.0,0,3,7,61,61,0.22293388429752067,purple
229500.0,128.93258426966293,3,1.0,1780,7470,1.0,0,3,7,64,64,0.17148760330578514,purple
323000.0,170.8994708994709,3,2.5,1890,6560,2.0,0,3,7,21,21,0.15059687786960516,purple
662500.0,186.09550561797752,3,2.5,3560,9796,1.0,0,3,8,59,59,0.2248852157943067,light pink
468000.0,403.44827586206895,2,1.0,1160,6000,1.0,0,4,7,82,82,0.13774104683195593,purple
310000.0,216.7832167832168,3,1.0,1430,19901,1.5,0,4,7,97,97,0.45686409550045914,purple
400000.0,291.97080291970804,3,1.75,1370,9680,1.0,0,4,7,47,47,0.2222222222222222,purple
530000.0,292.81767955801104,5,2.0,1810,4850,1.5,0,3,7,124,124,0.11134067952249771,light pink
650000.0,220.33898305084745,4,3.0,2950,5000,2.0,3,3,9,45,45,0.1147842056932966,light pink
395000.0,208.994708994709,3,2.0,1890,14040,2.0,0,3,7,30,30,0.32231404958677684,purple
485000.0,303.125,4,1.0,1600,4300,1.5,0,4,7,108,108,0.09871441689623507,purple
189000.0,157.5,2,1.0,1200,9850,1.0,0,4,7,103,103,0.2261248852157943,purple
230000.0,184.0,3,1.0,1250,9774,1.0,0,4,7,55,55,0.2243801652892562,purple
385000.0,237.65432098765436,4,1.75,1620,4980,1.0,0,4,7,77,77,0.11432506887052342,purple
2000000.0,655.7377049180328,3,2.75,3050,44867,1.0,4,3,9,56,56,1.0300045913682276,dark purple
285000.0,125.55066079295156,5,2.5,2270,6300,2.0,0,3,8,29,29,0.1446280991735537,purple
252700.0,236.16822429906543,2,1.5,1070,9643,1.0,0,3,7,39,39,0.22137281910009182,purple
329000.0,134.28571428571428,3,2.25,2450,6500,2.0,0,4,8,39,39,0.14921946740128558,purple
233000.0,136.25730994152048,3,2.0,1710,4697,1.5,0,5,6,83,83,0.10782828282828283,purple
937000.0,382.4489795918368,3,1.75,2450,2691,2.0,0,3,8,109,109,0.06177685950413223,light pink
667000.0,476.4285714285714,3,1.0,1400,1581,1.5,0,5,8,115,115,0.036294765840220386,light pink
438000.0,288.1578947368421,3,1.75,1520,6380,1.0,0,3,7,76,76,0.14646464646464646,purple
719000.0,279.76653696498056,4,2.5,2570,7173,2.0,0,3,8,19,19,0.1646694214876033,light pink
580500.0,250.2155172413793,3,2.5,2320,3980,2.0,0,3,8,21,21,0.0913682277318641,light pink
280000.0,235.2941176470588,2,1.5,1190,1265,3.0,0,3,7,19,19,0.02904040404040404,purple
687500.0,295.06437768240346,4,1.75,2330,5000,1.5,0,4,7,95,95,0.1147842056932966,light pink
535000.0,490.8256880733945,3,1.0,1090,3000,1.5,0,4,8,95,95,0.06887052341597796,light pink
322500.0,156.55339805825244,4,2.75,2060,6659,1.0,0,3,7,43,43,0.15286960514233242,purple
696000.0,302.60869565217394,3,2.5,2300,3060,1.5,0,3,8,94,22,0.07024793388429752,light pink
550000.0,331.32530120481925,4,1.0,1660,34848,1.0,0,1,5,91,91,0.8,light pink
640000.0,271.1864406779661,4,2.0,2360,6000,2.0,0,4,8,120,120,0.13774104683195593,light pink
240000.0,196.72131147540983,4,1.0,1220,8075,1.0,0,2,7,55,55,0.185376492194674,purple
605000.0,230.91603053435117,4,2.5,2620,7553,2.0,0,3,8,28,28,0.17339302112029384,light pink
625000.0,243.1906614785992,4,2.5,2570,5520,2.0,0,3,9,24,24,0.12672176308539945,light pink
775000.0,183.64928909952607,4,2.25,4220,24186,1.0,0,3,8,40,40,0.5552341597796143,light pink
861990.0,239.77468706536857,5,2.75,3595,5639,2.0,0,3,9,10,10,0.12945362718089992,light pink
685000.0,436.3057324840764,3,1.0,1570,2280,2.0,0,3,7,102,102,0.05234159779614325,light pink
309000.0,241.40625,3,1.0,1280,9656,1.0,0,4,6,65,65,0.2216712580348944,purple
488000.0,154.43037974683546,3,2.5,3160,13603,2.0,0,3,8,21,21,0.31228191000918276,purple
210490.0,212.6161616161616,3,1.0,990,8528,1.0,0,3,6,58,58,0.1957759412304867,purple
